Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,533744,-,-,-,24.21,-103.1,0,2031,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky GHI,Clearsky DNI,DNI,DHI,GHI,Relative Humidity
2008,1,1,0,30,11.8,0,0,0,0,0,0,17.77
2008,1,1,1,30,9.9,0,0,0,0,0,0,19.86
2008,1,1,2,30,8.3,0,0,0,0,0,0,22.990000000000002
2008,1,1,3,30,7.300000000000001,0,0,0,0,0,0,25.82
2008,1,1,4,30,6.7,0,0,0,0,0,0,27.830000000000002
2008,1,1,5,30,6.4,0,0,0,0,0,0,29.1
2008,1,1,6,30,6.300000000000001,0,0,0,0,0,0,29.8
2008,1,1,7,30,6.1000000000000005,0,0,0,0,0,0,30.14
2008,1,1,8,30,5.5,0,0,0,0,0,0,31.25
2008,1,1,9,30,4.4,0,0,0,0,0,0,33.92
2008,1,1,10,30,3.1,0,0,0,0,0,0,37.74
2008,1,1,11,30,1.9000000000000001,0,0,0,0,0,0,43.04
2008,1,1,12,30,0.9,0,0,0,0,0,0,49.18
2008,1,1,13,30,1.8,0,0,0,0,0,0,49.02
2008,1,1,14,30,4.800000000000001,39,160,687,687,39,160,42.42
2008,1,1,15,30,8.6,59,376,874,874,59,376,40.49
2008,1,1,16,30,12.4,71,561,952,952,71,561,42.15
2008,1,1,17,30,15.600000000000001,79,695,991,991,79,695,38.57
2008,1,1,18,30,17.900000000000002,80,759,1007,1007,80,759,34.18
2008,1,1,19,30,19.200000000000003,79,752,1004,1004,79,752,31.03
2008,1,1,20,30,19.700000000000003,75,675,985,985,75,675,29.34
2008,1,1,21,30,19.3,68,532,934,934,68,532,29.59
2008,1,1,22,30,17.5,57,340,833,833,57,340,32.980000000000004
2008,1,1,23,30,14.4,37,124,583,583,37,124,40.54
2008,1,2,0,30,11.4,0,0,0,0,0,0,48.57
2008,1,2,1,30,9.600000000000001,0,0,0,0,0,0,52.43
2008,1,2,2,30,8.1,0,0,0,0,0,0,56.09
2008,1,2,3,30,6.4,0,0,0,0,0,0,61.17
2008,1,2,4,30,5.1000000000000005,0,0,0,0,0,0,65.47
2008,1,2,5,30,4.6000000000000005,0,0,0,0,0,0,67.81
2008,1,2,6,30,4.2,0,0,0,0,0,0,70.77
2008,1,2,7,30,3.7,0,0,0,0,0,0,72.83
2008,1,2,8,30,3,0,0,0,0,0,0,75.54
2008,1,2,9,30,2.3000000000000003,0,0,0,0,0,0,77.18
2008,1,2,10,30,1.6,0,0,0,0,0,0,78.22
2008,1,2,11,30,1,0,0,0,0,0,0,78.95
2008,1,2,12,30,0.5,0,0,0,0,0,0,79.44
2008,1,2,13,30,0.8,0,0,0,0,0,0,75.74
2008,1,2,14,30,2.6,37,159,693,0,27,27,65.57000000000001
2008,1,2,15,30,5.5,53,381,905,0,92,92,55.01
2008,1,2,16,30,8.6,60,571,992,15,256,263,46.160000000000004
2008,1,2,17,30,11.4,64,706,1033,715,250,694,39.21
2008,1,2,18,30,13.5,64,775,1053,1053,64,775,33.9
2008,1,2,19,30,14.9,63,770,1053,1053,63,770,29.77
2008,1,2,20,30,15.5,62,693,1033,1033,62,693,27.13
2008,1,2,21,30,15.200000000000001,57,551,989,989,57,551,26.39
2008,1,2,22,30,13.9,49,356,897,897,49,356,28.01
2008,1,2,23,30,10.700000000000001,33,135,674,674,33,135,34.75
2008,1,3,0,30,7.9,0,0,0,0,0,0,43.28
2008,1,3,1,30,6.7,0,0,0,0,0,0,47.89
2008,1,3,2,30,5.300000000000001,0,0,0,0,0,0,54.4
2008,1,3,3,30,3.8000000000000003,0,0,0,0,0,0,62.34
2008,1,3,4,30,2.3000000000000003,0,0,0,0,0,0,70.55
2008,1,3,5,30,1,0,0,0,0,0,0,77.13
2008,1,3,6,30,0,0,0,0,0,0,0,81.3
2008,1,3,7,30,-0.8,0,0,0,0,0,0,83.74
2008,1,3,8,30,-1.5,0,0,0,0,0,0,85.69
2008,1,3,9,30,-2,0,0,0,0,0,0,86.65
2008,1,3,10,30,-2.3000000000000003,0,0,0,0,0,0,87.22
2008,1,3,11,30,-2.6,0,0,0,0,0,0,88.41
2008,1,3,12,30,-2.7,0,0,0,0,0,0,88.7
2008,1,3,13,30,-1.6,0,0,0,0,0,0,81.48
2008,1,3,14,30,1.5,35,162,731,731,35,162,65.37
2008,1,3,15,30,5.800000000000001,48,384,927,927,48,384,50.2
2008,1,3,16,30,10.100000000000001,55,575,1009,1009,55,575,39.27
2008,1,3,17,30,13.9,58,711,1049,1049,58,711,31.5
2008,1,3,18,30,16.900000000000002,63,781,1062,1062,63,781,26.14
2008,1,3,19,30,18.8,62,777,1062,1062,62,777,21.04
2008,1,3,20,30,19.6,60,701,1044,1044,60,701,17.400000000000002
2008,1,3,21,30,19.400000000000002,56,557,1001,1001,56,557,16.03
