Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,462912,-,-,-,23.01,-105.86,0,56,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Temperature,Clearsky DNI,Clearsky GHI,Clearsky DHI,DNI,DHI,GHI,Relative Humidity
2004,1,1,0,30,23.5,0,0,0,0,0,0,74.06
2004,1,1,1,30,23,0,0,0,0,0,0,76.85000000000001
2004,1,1,2,30,22.700000000000003,0,0,0,0,0,0,77.44
2004,1,1,3,30,22.400000000000002,0,0,0,0,0,0,78.19
2004,1,1,4,30,22.200000000000003,0,0,0,0,0,0,78.16
2004,1,1,5,30,22.1,0,0,0,0,0,0,77.4
2004,1,1,6,30,22.200000000000003,0,0,0,0,0,0,76.01
2004,1,1,7,30,22.3,0,0,0,0,0,0,74.97
2004,1,1,8,30,22.200000000000003,0,0,0,0,0,0,75.05
2004,1,1,9,30,22.1,0,0,0,0,0,0,75.17
2004,1,1,10,30,21.8,0,0,0,0,0,0,75.99
2004,1,1,11,30,21.5,0,0,0,0,0,0,76.46000000000001
2004,1,1,12,30,21.200000000000003,0,0,0,0,0,0,77.08
2004,1,1,13,30,21.3,0,0,0,0,0,0,75.81
2004,1,1,14,30,22.1,364,103,48,0,20,20,73.22
2004,1,1,15,30,23.6,633,299,81,42,160,175,68.76
2004,1,1,16,30,25.1,758,480,98,499,173,425,60.77
2004,1,1,17,30,26.1,820,617,108,561,210,558,56.160000000000004
2004,1,1,18,30,26.6,850,692,111,428,262,554,52.01
2004,1,1,19,30,26.6,855,701,111,133,333,425,49.93
2004,1,1,20,30,26.5,841,642,104,197,316,442,49.6
2004,1,1,21,30,26.200000000000003,777,516,100,121,264,329,50.27
2004,1,1,22,30,25.400000000000002,670,343,86,5,101,103,54.24
2004,1,1,23,30,24.200000000000003,441,146,59,4,60,60,61.89
2004,1,2,0,30,23.200000000000003,0,0,0,0,0,0,64.45
2004,1,2,1,30,22.8,0,0,0,0,0,0,64.69
2004,1,2,2,30,22.5,0,0,0,0,0,0,64.08
2004,1,2,3,30,22.3,0,0,0,0,0,0,63.79
2004,1,2,4,30,22,0,0,0,0,0,0,64.71000000000001
2004,1,2,5,30,21.8,0,0,0,0,0,0,64.88
2004,1,2,6,30,21.5,0,0,0,0,0,0,65.41
2004,1,2,7,30,21.3,0,0,0,0,0,0,65.83
2004,1,2,8,30,21.1,0,0,0,0,0,0,65.66
2004,1,2,9,30,20.900000000000002,0,0,0,0,0,0,64.84
2004,1,2,10,30,20.700000000000003,0,0,0,0,0,0,64.61
2004,1,2,11,30,20.6,0,0,0,0,0,0,64.1
2004,1,2,12,30,20.6,0,0,0,0,0,0,63.46
2004,1,2,13,30,20.900000000000002,0,0,0,0,0,0,62.120000000000005
2004,1,2,14,30,21.900000000000002,401,105,46,6,59,60,59.53
2004,1,2,15,30,23.400000000000002,665,304,77,101,175,209,53.730000000000004
2004,1,2,16,30,25.700000000000003,785,488,93,354,226,404,48.01
2004,1,2,17,30,27.900000000000002,845,627,103,453,248,529,43.12
2004,1,2,18,30,28.700000000000003,876,706,106,634,208,642,40.88
2004,1,2,19,30,28.8,886,716,104,886,104,716,40.64
2004,1,2,20,30,28.6,870,656,98,260,344,511,41.26
2004,1,2,21,30,28.1,813,530,94,363,224,419,43.01
2004,1,2,22,30,27,715,356,80,22,162,171,47.19
2004,1,2,23,30,25.400000000000002,504,154,54,9,83,85,57.17
2004,1,3,0,30,24.200000000000003,0,0,0,0,0,0,64.17
2004,1,3,1,30,23.700000000000003,0,0,0,0,0,0,65.07000000000001
2004,1,3,2,30,23.3,0,0,0,0,0,0,65.9
2004,1,3,3,30,23.200000000000003,0,0,0,0,0,0,64.29
