Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,462929,-,-,-,22.33,-105.86,0,0,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Temperature,Clearsky DNI,Clearsky GHI,Clearsky DHI,DNI,DHI,GHI,Relative Humidity
2004,1,1,0,30,23.400000000000002,0,0,0,0,0,0,84.05
2004,1,1,1,30,23.1,0,0,0,0,0,0,86.19
2004,1,1,2,30,23,0,0,0,0,0,0,86.81
2004,1,1,3,30,22.900000000000002,0,0,0,0,0,0,87.02
2004,1,1,4,30,22.8,0,0,0,0,0,0,86.78
2004,1,1,5,30,22.700000000000003,0,0,0,0,0,0,86.29
2004,1,1,6,30,22.8,0,0,0,0,0,0,84.82000000000001
2004,1,1,7,30,22.8,0,0,0,0,0,0,84.18
2004,1,1,8,30,22.700000000000003,0,0,0,0,0,0,84.36
2004,1,1,9,30,22.6,0,0,0,0,0,0,84.84
2004,1,1,10,30,22.6,0,0,0,0,0,0,84.74
2004,1,1,11,30,22.6,0,0,0,0,0,0,84.14
2004,1,1,12,30,22.6,0,0,0,0,0,0,83.16
2004,1,1,13,30,22.8,0,0,0,0,0,0,81.2
2004,1,1,14,30,23.3,362,107,50,1,38,38,78.76
2004,1,1,15,30,24,633,304,82,110,162,200,75.92
2004,1,1,16,30,24.8,761,486,97,242,212,335,71.44
2004,1,1,17,30,25.400000000000002,825,623,105,428,236,505,68.56
2004,1,1,18,30,25.8,866,702,102,383,260,525,66.13
2004,1,1,19,30,26,873,711,100,100,313,383,64.54
2004,1,1,20,30,26.1,857,651,95,14,275,284,63.42
2004,1,1,21,30,26,780,522,99,2,186,187,63
2004,1,1,22,30,25.6,674,349,85,5,99,101,65.02
