Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,532770,-,-,-,21.13,-103.14,0,1531,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky GHI,Clearsky DNI,DNI,DHI,GHI,Relative Humidity
2008,1,1,0,30,19.8,0,0,0,0,0,0,18.990000000000002
2008,1,1,1,30,18.2,0,0,0,0,0,0,19.62
2008,1,1,2,30,16.8,0,0,0,0,0,0,21.11
2008,1,1,3,30,15.600000000000001,0,0,0,0,0,0,22.12
2008,1,1,4,30,14.200000000000001,0,0,0,0,0,0,23.66
2008,1,1,5,30,12.600000000000001,0,0,0,0,0,0,26.490000000000002
2008,1,1,6,30,11.4,0,0,0,0,0,0,29.98
2008,1,1,7,30,10.5,0,0,0,0,0,0,34.410000000000004
2008,1,1,8,30,10,0,0,0,0,0,0,39.47
2008,1,1,9,30,9.700000000000001,0,0,0,0,0,0,44.68
2008,1,1,10,30,9.4,0,0,0,0,0,0,49.19
2008,1,1,11,30,9.1,0,0,0,0,0,0,52.17
2008,1,1,12,30,8.8,0,0,0,0,0,0,54.19
2008,1,1,13,30,9.600000000000001,0,0,0,0,0,0,51.35
2008,1,1,14,30,12.700000000000001,40,190,739,739,40,190,41.82
2008,1,1,15,30,16.8,54,414,914,914,54,414,34.69
2008,1,1,16,30,20.1,65,604,981,981,65,604,33.980000000000004
2008,1,1,17,30,22.200000000000003,72,738,1012,1012,72,738,30.55
2008,1,1,18,30,23.5,77,803,1019,1019,77,803,27.39
2008,1,1,19,30,24.200000000000003,78,795,1011,1011,78,795,26.18
2008,1,1,20,30,24.400000000000002,77,713,984,984,77,713,26.54
2008,1,1,21,30,23.8,73,566,928,219,309,425,28.95
2008,1,1,22,30,22.3,64,367,818,818,64,367,33.99
2008,1,1,23,30,19.700000000000003,44,146,580,580,44,146,42.61
2008,1,2,0,30,17,0,0,0,0,0,0,52.54
2008,1,2,1,30,14.700000000000001,0,0,0,0,0,0,60.44
2008,1,2,2,30,12.5,0,0,0,0,0,0,64.7
2008,1,2,3,30,10.700000000000001,0,0,0,0,0,0,65.7
2008,1,2,4,30,9.3,0,0,0,0,0,0,66.75
2008,1,2,5,30,8.1,0,0,0,0,0,0,68.42
2008,1,2,6,30,7.1000000000000005,0,0,0,0,0,0,69.01
2008,1,2,7,30,6.4,0,0,0,0,0,0,67.94
2008,1,2,8,30,5.7,0,0,0,0,0,0,67.38
2008,1,2,9,30,5.2,0,0,0,0,0,0,67.17
2008,1,2,10,30,4.7,0,0,0,0,0,0,68.08
2008,1,2,11,30,4.3,0,0,0,0,0,0,69.04
2008,1,2,12,30,4,0,0,0,0,0,0,69.3
2008,1,2,13,30,4.6000000000000005,0,0,0,0,0,0,65.1
2008,1,2,14,30,6.9,47,178,649,7,103,104,54.78
2008,1,2,15,30,10.200000000000001,65,400,851,262,213,316,45.13
2008,1,2,16,30,13.5,75,592,941,941,75,592,38.18
2008,1,2,17,30,16.400000000000002,81,730,985,408,340,609,33.22
2008,1,2,18,30,18.6,86,798,998,486,348,695,30.04
2008,1,2,19,30,20.1,87,793,995,429,366,671,28.1
2008,1,2,20,30,20.6,85,713,968,968,85,713,27.66
2008,1,2,21,30,20.200000000000003,79,569,918,918,79,569,28.45
2008,1,2,22,30,18.6,68,372,815,815,68,372,31.19
2008,1,2,23,30,15.600000000000001,47,150,578,578,47,150,37.26
2008,1,3,0,30,12.700000000000001,0,0,0,0,0,0,44.4
2008,1,3,1,30,10.8,0,0,0,0,0,0,48.32
2008,1,3,2,30,9.1,0,0,0,0,0,0,51.42
2008,1,3,3,30,7.4,0,0,0,0,0,0,54.870000000000005
2008,1,3,4,30,5.9,0,0,0,0,0,0,58.480000000000004
2008,1,3,5,30,4.9,0,0,0,0,0,0,61.160000000000004
2008,1,3,6,30,4.1000000000000005,0,0,0,0,0,0,63.52
2008,1,3,7,30,3.6,0,0,0,0,0,0,65.05
2008,1,3,8,30,3.2,0,0,0,0,0,0,66.34
2008,1,3,9,30,2.9000000000000004,0,0,0,0,0,0,67.35
2008,1,3,10,30,2.5,0,0,0,0,0,0,69.04
2008,1,3,11,30,2.3000000000000003,0,0,0,0,0,0,69.88
2008,1,3,12,30,2.1,0,0,0,0,0,0,70.83
2008,1,3,13,30,3.1,0,0,0,0,0,0,65.86
2008,1,3,14,30,5.9,48,176,636,636,48,176,54.72
2008,1,3,15,30,9.9,67,400,847,847,67,400,43.57
2008,1,3,16,30,13.9,75,592,941,941,75,592,35.71
2008,1,3,17,30,17.400000000000002,81,733,990,990,81,733,30.7
2008,1,3,18,30,20.3,81,804,1012,1012,81,804,27.57
2008,1,3,19,30,22.3,81,800,1012,1012,81,800,26.1
2008,1,3,20,30,23.3,77,723,994,994,77,723,25.46
2008,1,3,21,30,23.400000000000002,72,579,946,946,72,579,24.92
2008,1,3,22,30,21.900000000000002,61,382,856,856,61,382,26.54
2008,1,3,23,30,18.400000000000002,42,158,645,645,42,158,38.18
2008,1,4,0,30,15.200000000000001,0,0,0,0,0,0,44.04
2008,1,4,1,30,13.5,0,0,0,0,0,0,48.47
2008,1,4,2,30,12.200000000000001,0,0,0,0,0,0,52.71
2008,1,4,3,30,10.700000000000001,0,0,0,0,0,0,57.85
2008,1,4,4,30,9.200000000000001,0,0,0,0,0,0,62.74
2008,1,4,5,30,7.800000000000001,0,0,0,0,0,0,66.72
2008,1,4,6,30,6.7,0,0,0,0,0,0,69.38
2008,1,4,7,30,5.800000000000001,0,0,0,0,0,0,71.94
2008,1,4,8,30,4.9,0,0,0,0,0,0,75.36
2008,1,4,9,30,4.3,0,0,0,0,0,0,77.69
2008,1,4,10,30,3.8000000000000003,0,0,0,0,0,0,79.68
2008,1,4,11,30,3.4000000000000004,0,0,0,0,0,0,81.28
2008,1,4,12,30,3.2,0,0,0,0,0,0,81.77
2008,1,4,13,30,4.4,0,0,0,0,0,0,74.92
2008,1,4,14,30,7.9,45,181,679,679,45,181,59.35
2008,1,4,15,30,12.700000000000001,61,408,884,884,61,408,44.81
2008,1,4,16,30,17.7,69,607,979,979,69,607,33.980000000000004
2008,1,4,17,30,21.900000000000002,73,747,1023,1023,73,747,25.61
2008,1,4,18,30,24.3,73,819,1043,1043,73,819,19.25
2008,1,4,19,30,25.3,72,815,1043,1043,72,815,16.31
2008,1,4,20,30,25.6,69,738,1026,1026,69,738,14.58
2008,1,4,21,30,25.3,63,593,986,986,63,593,13.790000000000001
