Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,532786,-,-,-,20.49,-103.14,0,1634,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky GHI,Clearsky DNI,DNI,DHI,GHI,Relative Humidity
2008,1,1,0,30,20,0,0,0,0,0,0,24.330000000000002
2008,1,1,1,30,18.8,0,0,0,0,0,0,24.71
2008,1,1,2,30,17.7,0,0,0,0,0,0,23.63
2008,1,1,3,30,16.6,0,0,0,0,0,0,23.22
2008,1,1,4,30,15,0,0,0,0,0,0,25.11
2008,1,1,5,30,13,0,0,0,0,0,0,28.88
2008,1,1,6,30,11.200000000000001,0,0,0,0,0,0,34.05
2008,1,1,7,30,9.9,0,0,0,0,0,0,40.32
2008,1,1,8,30,9,0,0,0,0,0,0,47.07
2008,1,1,9,30,8.5,0,0,0,0,0,0,53.38
2008,1,1,10,30,8.3,0,0,0,0,0,0,58.64
2008,1,1,11,30,8,0,0,0,0,0,0,63.84
2008,1,1,12,30,7.800000000000001,0,0,0,0,0,0,68.59
2008,1,1,13,30,8.6,0,0,0,0,0,0,67.67
2008,1,1,14,30,11.5,42,196,740,740,42,196,57.75
2008,1,1,15,30,15.5,57,422,912,286,217,331,45.58
2008,1,1,16,30,18.8,69,613,977,433,279,520,40.24
2008,1,1,17,30,21,77,751,1012,1012,77,751,35.160000000000004
2008,1,1,18,30,22.5,80,816,1023,1023,80,816,30.42
2008,1,1,19,30,23.6,79,808,1018,1018,79,808,27.91
2008,1,1,20,30,24,77,726,991,991,77,726,27.35
2008,1,1,21,30,23.700000000000003,75,577,931,931,75,577,28.45
2008,1,1,22,30,22.400000000000002,66,376,822,822,66,376,32.21
2008,1,1,23,30,20,46,152,585,585,46,152,40.5
2008,1,2,0,30,17.400000000000002,0,0,0,0,0,0,50.39
2008,1,2,1,30,15.100000000000001,0,0,0,0,0,0,60.69
2008,1,2,2,30,12.700000000000001,0,0,0,0,0,0,68.77
2008,1,2,3,30,10.9,0,0,0,0,0,0,69.66
2008,1,2,4,30,9.4,0,0,0,0,0,0,69.62
2008,1,2,5,30,8.200000000000001,0,0,0,0,0,0,71.33
2008,1,2,6,30,7.1000000000000005,0,0,0,0,0,0,73.39
2008,1,2,7,30,6.4,0,0,0,0,0,0,73.16
