Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,462908,-,-,-,23.17,-105.86,0,171,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Temperature,Clearsky DNI,Clearsky GHI,Clearsky DHI,DNI,DHI,GHI,Relative Humidity
2004,1,1,0,30,23.200000000000003,0,0,0,0,0,0,72
2004,1,1,1,30,22.6,0,0,0,0,0,0,75.15
2004,1,1,2,30,22.200000000000003,0,0,0,0,0,0,76.03
2004,1,1,3,30,21.900000000000002,0,0,0,0,0,0,76.73
2004,1,1,4,30,21.6,0,0,0,0,0,0,77.2
2004,1,1,5,30,21.5,0,0,0,0,0,0,76.54
2004,1,1,6,30,21.6,0,0,0,0,0,0,75.23
2004,1,1,7,30,21.6,0,0,0,0,0,0,74.65
2004,1,1,8,30,21.6,0,0,0,0,0,0,74.24
2004,1,1,9,30,21.5,0,0,0,0,0,0,74.32000000000001
2004,1,1,10,30,21.200000000000003,0,0,0,0,0,0,75.12
2004,1,1,11,30,20.8,0,0,0,0,0,0,76.14
2004,1,1,12,30,20.5,0,0,0,0,0,0,76.88
2004,1,1,13,30,20.6,0,0,0,0,0,0,75.94
2004,1,1,14,30,21.5,377,103,47,0,16,16,72.74
2004,1,1,15,30,23.1,642,299,79,0,77,77,67.55
2004,1,1,16,30,24.700000000000003,764,480,96,494,182,430,59.77
2004,1,1,17,30,25.8,825,616,106,551,211,552,54.63
2004,1,1,18,30,26.200000000000003,854,691,109,173,326,444,50.92
2004,1,1,19,30,26.200000000000003,859,700,109,183,336,462,49.02
