Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,532707,-,-,-,23.65,-103.14,0,1965,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky GHI,Clearsky DNI,DNI,DHI,GHI,Relative Humidity
2008,1,1,0,30,14.600000000000001,0,0,0,0,0,0,21.02
2008,1,1,1,30,12.600000000000001,0,0,0,0,0,0,22.75
2008,1,1,2,30,10.9,0,0,0,0,0,0,24.68
2008,1,1,3,30,9.4,0,0,0,0,0,0,26.55
2008,1,1,4,30,8.200000000000001,0,0,0,0,0,0,28.09
2008,1,1,5,30,7.4,0,0,0,0,0,0,29.36
2008,1,1,6,30,7,0,0,0,0,0,0,31.01
2008,1,1,7,30,6.7,0,0,0,0,0,0,31.560000000000002
2008,1,1,8,30,6.300000000000001,0,0,0,0,0,0,31.77
2008,1,1,9,30,5.7,0,0,0,0,0,0,32.42
2008,1,1,10,30,4.7,0,0,0,0,0,0,34.62
2008,1,1,11,30,3.4000000000000004,0,0,0,0,0,0,37.84
2008,1,1,12,30,2.2,0,0,0,0,0,0,42.7
2008,1,1,13,30,3.6,0,0,0,0,0,0,42.4
2008,1,1,14,30,7.4,37,167,717,137,100,125,40.28
2008,1,1,15,30,11.3,56,385,892,892,56,385,42.53
2008,1,1,16,30,14.8,68,571,964,964,68,571,42.24
2008,1,1,17,30,17.400000000000002,75,703,1000,1000,75,703,38.07
2008,1,1,18,30,19.3,75,771,1021,1021,75,771,33.25
2008,1,1,19,30,20.3,74,763,1018,1018,74,763,30.61
2008,1,1,20,30,20.5,71,684,994,994,71,684,30.14
2008,1,1,21,30,19.8,65,540,944,944,65,540,31.95
2008,1,1,22,30,18.1,55,348,847,847,55,348,36.800000000000004
2008,1,1,23,30,15.5,36,130,606,606,36,130,46.45
2008,1,2,0,30,13.200000000000001,0,0,0,0,0,0,57.31
2008,1,2,1,30,11.4,0,0,0,0,0,0,66.39
2008,1,2,2,30,9.600000000000001,0,0,0,0,0,0,75.09
2008,1,2,3,30,8,0,0,0,0,0,0,81.27
2008,1,2,4,30,6.7,0,0,0,0,0,0,83.10000000000001
2008,1,2,5,30,5.7,0,0,0,0,0,0,82.41
2008,1,2,6,30,4.9,0,0,0,0,0,0,80.51
2008,1,2,7,30,3.9000000000000004,0,0,0,0,0,0,79.99
2008,1,2,8,30,3.1,0,0,0,0,0,0,79.41
2008,1,2,9,30,2.4000000000000004,0,0,0,0,0,0,79.35000000000001
2008,1,2,10,30,1.9000000000000001,0,0,0,0,0,0,79.25
2008,1,2,11,30,1.4000000000000001,0,0,0,0,0,0,79.79
2008,1,2,12,30,0.9,0,0,0,0,0,0,80.28
