Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,462855,-,-,-,25.29,-105.86,0,2208,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Temperature,Clearsky DNI,Clearsky GHI,Clearsky DHI,DNI,DHI,GHI,Relative Humidity
2004,1,1,0,30,8.9,0,0,0,0,0,0,80.60000000000001
2004,1,1,1,30,7.6000000000000005,0,0,0,0,0,0,90.25
2004,1,1,2,30,6.9,0,0,0,0,0,0,96.96000000000001
2004,1,1,3,30,6.5,0,0,0,0,0,0,100
2004,1,1,4,30,6.4,0,0,0,0,0,0,100
2004,1,1,5,30,6.4,0,0,0,0,0,0,100
2004,1,1,6,30,6.4,0,0,0,0,0,0,100
2004,1,1,7,30,6.2,0,0,0,0,0,0,100
2004,1,1,8,30,6.1000000000000005,0,0,0,0,0,0,100
2004,1,1,9,30,6,0,0,0,0,0,0,100
2004,1,1,10,30,5.800000000000001,0,0,0,0,0,0,100
2004,1,1,11,30,5.6000000000000005,0,0,0,0,0,0,100
2004,1,1,12,30,5.300000000000001,0,0,0,0,0,0,100
2004,1,1,13,30,5.6000000000000005,0,0,0,0,0,0,100
2004,1,1,14,30,7,546,105,34,1,34,34,92.05
2004,1,1,15,30,9.4,822,315,52,7,141,144,77.13
2004,1,1,16,30,12.100000000000001,926,504,61,286,231,368,62.03
2004,1,1,17,30,14.100000000000001,975,644,67,214,305,431,51.65
2004,1,1,18,30,15,995,720,69,29,298,316,47.660000000000004
2004,1,1,19,30,15.3,994,728,71,201,362,495,46.85
2004,1,1,20,30,15.100000000000001,969,663,71,292,287,466,48.14
2004,1,1,21,30,14.5,929,537,64,444,199,425,51.230000000000004
2004,1,1,22,30,13.200000000000001,836,357,56,96,196,230,59.160000000000004
2004,1,1,23,30,11.200000000000001,619,149,40,22,88,92,71.3
2004,1,2,0,30,9.600000000000001,0,0,0,0,0,0,78.82000000000001
2004,1,2,1,30,8.8,0,0,0,0,0,0,83.62
2004,1,2,2,30,8.3,0,0,0,0,0,0,87.08
2004,1,2,3,30,7.9,0,0,0,0,0,0,89.92
2004,1,2,4,30,7.4,0,0,0,0,0,0,93.56
2004,1,2,5,30,7,0,0,0,0,0,0,96
2004,1,2,6,30,6.9,0,0,0,0,0,0,97.05
2004,1,2,7,30,6.800000000000001,0,0,0,0,0,0,97.65
2004,1,2,8,30,6.7,0,0,0,0,0,0,97.78
2004,1,2,9,30,6.6000000000000005,0,0,0,0,0,0,97.72
2004,1,2,10,30,6.300000000000001,0,0,0,0,0,0,97.95
2004,1,2,11,30,6,0,0,0,0,0,0,97.76
2004,1,2,12,30,5.7,0,0,0,0,0,0,97.7
2004,1,2,13,30,6.5,0,0,0,0,0,0,91.03
2004,1,2,14,30,9.1,558,103,31,12,55,57,78.94
2004,1,2,15,30,12.9,806,309,51,531,105,275,64.15
2004,1,2,16,30,16.2,907,495,62,434,197,405,49.93
2004,1,2,17,30,18.1,958,635,67,467,234,511,42.82
2004,1,2,18,30,18.900000000000002,974,712,74,178,348,465,40.24
2004,1,2,19,30,19.3,986,724,71,249,358,523,38.67
2004,1,2,20,30,19.5,979,666,65,297,291,473,37.54
2004,1,2,21,30,19,939,541,62,115,264,323,38.03
2004,1,2,22,30,17.2,857,363,52,17,146,152,42.43
2004,1,2,23,30,14,659,155,37,9,91,93,56.19
2004,1,3,0,30,11.3,0,0,0,0,0,0,69.89
2004,1,3,1,30,10.5,0,0,0,0,0,0,74.77
2004,1,3,2,30,10,0,0,0,0,0,0,78.73
2004,1,3,3,30,9.5,0,0,0,0,0,0,81.93
2004,1,3,4,30,9.200000000000001,0,0,0,0,0,0,83.82000000000001
2004,1,3,5,30,9,0,0,0,0,0,0,85.26
2004,1,3,6,30,8.9,0,0,0,0,0,0,86.29
2004,1,3,7,30,8.700000000000001,0,0,0,0,0,0,88.17
2004,1,3,8,30,8.5,0,0,0,0,0,0,90.26
2004,1,3,9,30,8.3,0,0,0,0,0,0,92.4
2004,1,3,10,30,8,0,0,0,0,0,0,94.78
2004,1,3,11,30,7.9,0,0,0,0,0,0,95.68
2004,1,3,12,30,7.7,0,0,0,0,0,0,97.36
2004,1,3,13,30,8.3,0,0,0,0,0,0,93.95
2004,1,3,14,30,10.700000000000001,618,108,28,8,53,54,81.11
2004,1,3,15,30,13.9,867,320,43,7,142,144,65.13
2004,1,3,16,30,16.3,963,512,51,614,152,445,49.69
2004,1,3,17,30,17.900000000000002,1005,652,56,457,231,502,40.92
2004,1,3,18,30,18.900000000000002,1028,731,56,306,324,525,37.34
2004,1,3,19,30,19.1,1025,738,57,2,184,185,37.02
2004,1,3,20,30,18.6,1009,677,57,532,199,526,39
2004,1,3,21,30,17.400000000000002,972,550,52,220,264,376,43.07
2004,1,3,22,30,15.4,891,371,46,65,177,201,50.06
2004,1,3,23,30,13.100000000000001,704,161,34,32,88,94,60.04
2004,1,4,0,30,11.200000000000001,0,0,0,0,0,0,70.95
2004,1,4,1,30,10.100000000000001,0,0,0,0,0,0,77.79
2004,1,4,2,30,9.4,0,0,0,0,0,0,82.34
2004,1,4,3,30,9,0,0,0,0,0,0,85.2
2004,1,4,4,30,8.6,0,0,0,0,0,0,87.78
2004,1,4,5,30,8.3,0,0,0,0,0,0,89.57000000000001
2004,1,4,6,30,7.9,0,0,0,0,0,0,92.41
2004,1,4,7,30,7.4,0,0,0,0,0,0,95.28
2004,1,4,8,30,7,0,0,0,0,0,0,97.23
2004,1,4,9,30,6.6000000000000005,0,0,0,0,0,0,99.63
2004,1,4,10,30,6.4,0,0,0,0,0,0,100
2004,1,4,11,30,6.5,0,0,0,0,0,0,100
2004,1,4,12,30,6.6000000000000005,0,0,0,0,0,0,100
2004,1,4,13,30,7.300000000000001,0,0,0,0,0,0,97.21000000000001
2004,1,4,14,30,9.4,596,105,29,7,64,65,84.10000000000001
2004,1,4,15,30,12.200000000000001,851,316,44,0,93,93,68.15
2004,1,4,16,30,14.4,952,506,51,29,238,252,54.19
2004,1,4,17,30,15.8,1003,650,54,2,235,236,47.22
2004,1,4,18,30,16.5,1028,732,56,74,350,399,44.410000000000004
2004,1,4,19,30,16.6,1030,742,56,487,314,638,43.53
2004,1,4,20,30,16.1,1015,681,55,78,347,396,44.910000000000004
2004,1,4,21,30,15.3,963,553,57,310,274,434,47.76
2004,1,4,22,30,14,884,373,49,39,207,221,52.29
2004,1,4,23,30,11.4,701,163,35,0,52,52,63.74
2004,1,5,0,30,8.9,0,0,0,0,0,0,78.82000000000001
2004,1,5,1,30,7.800000000000001,0,0,0,0,0,0,85.46000000000001
2004,1,5,2,30,7,0,0,0,0,0,0,90.60000000000001
2004,1,5,3,30,6.4,0,0,0,0,0,0,94.65
2004,1,5,4,30,5.800000000000001,0,0,0,0,0,0,98.73
2004,1,5,5,30,5.2,0,0,0,0,0,0,100
2004,1,5,6,30,4.6000000000000005,0,0,0,0,0,0,100
2004,1,5,7,30,4.3,0,0,0,0,0,0,100
2004,1,5,8,30,4.1000000000000005,0,0,0,0,0,0,100
2004,1,5,9,30,3.9000000000000004,0,0,0,0,0,0,100
2004,1,5,10,30,3.6,0,0,0,0,0,0,100
2004,1,5,11,30,3.1,0,0,0,0,0,0,100
2004,1,5,12,30,2.6,0,0,0,0,0,0,100
2004,1,5,13,30,3.4000000000000004,0,0,0,0,0,0,99.51
2004,1,5,14,30,6.4,655,107,24,655,24,107,81.69
2004,1,5,15,30,11,895,322,36,895,36,322,61.160000000000004
2004,1,5,16,30,15.200000000000001,988,515,42,988,42,515,37.63
2004,1,5,17,30,17.8,1033,660,46,1033,46,660,26.810000000000002
2004,1,5,18,30,19.400000000000002,1052,741,47,1052,47,741,22.650000000000002
2004,1,5,19,30,20.200000000000003,1055,751,48,1055,48,751,20.73
2004,1,5,20,30,20.400000000000002,1035,687,46,1035,46,687,20.13
2004,1,5,21,30,19.8,999,560,44,999,44,560,20.88
2004,1,5,22,30,17.900000000000002,924,380,38,924,38,380,23.96
2004,1,5,23,30,13.9,743,167,29,743,29,167,39.44
2004,1,6,0,30,10.5,0,0,0,0,0,0,51.22
2004,1,6,1,30,9.5,0,0,0,0,0,0,53.620000000000005
2004,1,6,2,30,9,0,0,0,0,0,0,55.230000000000004
2004,1,6,3,30,8.1,0,0,0,0,0,0,58.34
2004,1,6,4,30,6.9,0,0,0,0,0,0,63.160000000000004
2004,1,6,5,30,5.6000000000000005,0,0,0,0,0,0,69
2004,1,6,6,30,4.6000000000000005,0,0,0,0,0,0,74.47
2004,1,6,7,30,3.8000000000000003,0,0,0,0,0,0,80.14
2004,1,6,8,30,3.3000000000000003,0,0,0,0,0,0,85.92
2004,1,6,9,30,3,0,0,0,0,0,0,91.93
2004,1,6,10,30,2.8000000000000003,0,0,0,0,0,0,97.04
2004,1,6,11,30,2.8000000000000003,0,0,0,0,0,0,99.39
2004,1,6,12,30,2.8000000000000003,0,0,0,0,0,0,100
2004,1,6,13,30,3.8000000000000003,0,0,0,0,0,0,92.96000000000001
2004,1,6,14,30,6.4,548,102,33,14,57,59,77.2
2004,1,6,15,30,10,814,313,54,814,54,313,60.35
2004,1,6,16,30,13.700000000000001,924,506,64,504,172,413,47.43
2004,1,6,17,30,16.5,979,651,69,538,215,536,39.89
2004,1,6,18,30,18.2,1010,734,68,232,327,480,35.56
2004,1,6,19,30,19,1012,745,69,485,267,591,33.5
2004,1,6,20,30,19.1,991,682,67,205,299,427,33.3
2004,1,6,21,30,18.400000000000002,955,557,61,311,277,439,35.15
2004,1,6,22,30,16.7,862,375,55,71,219,245,39.96
2004,1,6,23,30,13.5,660,165,40,204,95,134,53.63
2004,1,7,0,30,10.8,0,0,0,0,0,0,67.16
2004,1,7,1,30,9.9,0,0,0,0,0,0,70.36
2004,1,7,2,30,9.4,0,0,0,0,0,0,71.53
2004,1,7,3,30,9,0,0,0,0,0,0,72.67
2004,1,7,4,30,8.700000000000001,0,0,0,0,0,0,73.73
2004,1,7,5,30,8.5,0,0,0,0,0,0,74.54
2004,1,7,6,30,8.3,0,0,0,0,0,0,75.60000000000001
2004,1,7,7,30,8,0,0,0,0,0,0,77.10000000000001
2004,1,7,8,30,7.7,0,0,0,0,0,0,78.60000000000001
2004,1,7,9,30,7.5,0,0,0,0,0,0,79.57000000000001
2004,1,7,10,30,7.300000000000001,0,0,0,0,0,0,80.41
2004,1,7,11,30,7,0,0,0,0,0,0,81.75
2004,1,7,12,30,6.7,0,0,0,0,0,0,83.12
2004,1,7,13,30,6.7,0,0,0,0,0,0,82.84
2004,1,7,14,30,8.3,576,103,31,0,18,18,76.22
2004,1,7,15,30,11,836,316,50,44,158,172,63.99
2004,1,7,16,30,13.3,935,507,59,21,187,197,52.2
2004,1,7,17,30,14.8,986,651,64,167,291,391,45.56
2004,1,7,18,30,15.9,1014,734,63,189,395,520,41.64
2004,1,7,19,30,16.5,1017,745,64,1,258,259,39.56
2004,1,7,20,30,16.6,1004,688,63,0,115,115,38.85
2004,1,7,21,30,16,960,562,61,960,61,562,40.09
2004,1,7,22,30,14.8,886,384,52,316,179,297,43.1
2004,1,7,23,30,12,705,172,37,705,37,172,52.58
2004,1,8,0,30,8.9,0,0,0,0,0,0,66.88
2004,1,8,1,30,7.300000000000001,0,0,0,0,0,0,74.65
2004,1,8,2,30,6.5,0,0,0,0,0,0,77.95
2004,1,8,3,30,5.9,0,0,0,0,0,0,79.93
2004,1,8,4,30,5.300000000000001,0,0,0,0,0,0,82.5
2004,1,8,5,30,4.800000000000001,0,0,0,0,0,0,85.17
2004,1,8,6,30,4.3,0,0,0,0,0,0,88.18
2004,1,8,7,30,3.8000000000000003,0,0,0,0,0,0,91.48
2004,1,8,8,30,3.5,0,0,0,0,0,0,93.58
2004,1,8,9,30,3.2,0,0,0,0,0,0,95.46000000000001
2004,1,8,10,30,2.9000000000000004,0,0,0,0,0,0,97.06
2004,1,8,11,30,2.6,0,0,0,0,0,0,98.61
2004,1,8,12,30,2.5,0,0,0,0,0,0,98.79
2004,1,8,13,30,3.3000000000000003,0,0,0,0,0,0,92.63
2004,1,8,14,30,6.4,653,109,26,653,26,109,76.04
2004,1,8,15,30,10.5,910,330,40,910,40,330,58.85
2004,1,8,16,30,13.9,1005,528,46,1005,46,528,40.31
2004,1,8,17,30,16,1050,676,50,1050,50,676,28.34
2004,1,8,18,30,17.3,1069,761,53,1069,53,761,22.63
2004,1,8,19,30,18,1073,773,52,1073,52,773,19.87
2004,1,8,20,30,18,1059,712,50,1059,50,712,18.93
2004,1,8,21,30,17.400000000000002,1028,583,44,1028,44,583,19.29
2004,1,8,22,30,15.4,948,397,39,948,39,397,22.38
2004,1,8,23,30,12.3,780,181,30,780,30,181,40.75
2004,1,9,0,30,10.600000000000001,0,0,0,0,0,0,46.44
2004,1,9,1,30,10.200000000000001,0,0,0,0,0,0,45.37
2004,1,9,2,30,9.200000000000001,0,0,0,0,0,0,47.95
2004,1,9,3,30,7.300000000000001,0,0,0,0,0,0,55.52
2004,1,9,4,30,5.5,0,0,0,0,0,0,64.05
2004,1,9,5,30,4.7,0,0,0,0,0,0,67.57000000000001
2004,1,9,6,30,4.6000000000000005,0,0,0,0,0,0,68.44
2004,1,9,7,30,4.7,0,0,0,0,0,0,68.74
2004,1,9,8,30,4.800000000000001,0,0,0,0,0,0,69.11
2004,1,9,9,30,4.7,0,0,0,0,0,0,70.7
2004,1,9,10,30,4.5,0,0,0,0,0,0,72.72
2004,1,9,11,30,4.2,0,0,0,0,0,0,75.01
2004,1,9,12,30,3.9000000000000004,0,0,0,0,0,0,77.09
2004,1,9,13,30,4.5,0,0,0,0,0,0,74.10000000000001
2004,1,9,14,30,7.300000000000001,613,106,29,21,62,65,63.18
2004,1,9,15,30,11,870,324,46,400,136,264,48.910000000000004
2004,1,9,16,30,13.9,964,518,55,683,136,464,40.72
2004,1,9,17,30,15.700000000000001,1011,665,61,353,276,487,36.36
2004,1,9,18,30,17,1030,745,61,584,230,618,33.35
2004,1,9,19,30,17.8,1031,758,63,1031,63,758,31.44
2004,1,9,20,30,17.8,1009,696,64,807,162,668,31.19
2004,1,9,21,30,17.3,975,571,57,658,212,558,32.14
2004,1,9,22,30,15.8,894,391,51,894,51,391,35.5
2004,1,9,23,30,13,707,177,38,30,110,115,46.83
2004,1,10,0,30,10.100000000000001,0,0,0,0,0,0,59.36
2004,1,10,1,30,8.200000000000001,0,0,0,0,0,0,68.46000000000001
2004,1,10,2,30,6.800000000000001,0,0,0,0,0,0,75.64
2004,1,10,3,30,5.9,0,0,0,0,0,0,80.45
2004,1,10,4,30,5.300000000000001,0,0,0,0,0,0,83.82000000000001
2004,1,10,5,30,4.7,0,0,0,0,0,0,86.64
2004,1,10,6,30,4.1000000000000005,0,0,0,0,0,0,88.46000000000001
2004,1,10,7,30,3.5,0,0,0,0,0,0,88.84
2004,1,10,8,30,3,0,0,0,0,0,0,87.41
2004,1,10,9,30,2.8000000000000003,0,0,0,0,0,0,84.64
2004,1,10,10,30,2.8000000000000003,0,0,0,0,0,0,81.61
2004,1,10,11,30,2.9000000000000004,0,0,0,0,0,0,78.75
2004,1,10,12,30,2.8000000000000003,0,0,0,0,0,0,77.74
2004,1,10,13,30,3.4000000000000004,0,0,0,0,0,0,73.22
2004,1,10,14,30,5.7,551,102,33,10,66,67,62.56
2004,1,10,15,30,9.1,827,317,53,0,66,66,49.26
2004,1,10,16,30,12.4,933,513,65,82,288,328,42.49
2004,1,10,17,30,14.8,979,658,71,178,303,409,37.99
2004,1,10,18,30,16.2,1008,743,72,332,368,590,34.99
2004,1,10,19,30,16.6,1000,752,76,588,222,620,34.96
2004,1,10,20,30,16.1,968,689,79,0,18,18,37.51
2004,1,10,21,30,14.9,935,564,69,0,55,55,43.07
2004,1,10,22,30,13.100000000000001,833,382,63,14,134,140,52.230000000000004
2004,1,10,23,30,10.8,609,170,48,0,7,7,67.7
2004,1,11,0,30,9.1,0,0,0,0,0,0,80.46000000000001
2004,1,11,1,30,8.1,0,0,0,0,0,0,88.19
2004,1,11,2,30,7.4,0,0,0,0,0,0,92.63
2004,1,11,3,30,6.9,0,0,0,0,0,0,94.98
2004,1,11,4,30,6.4,0,0,0,0,0,0,96.86
2004,1,11,5,30,6.1000000000000005,0,0,0,0,0,0,97.46000000000001
2004,1,11,6,30,5.800000000000001,0,0,0,0,0,0,98.17
2004,1,11,7,30,5.6000000000000005,0,0,0,0,0,0,98.38
2004,1,11,8,30,5.5,0,0,0,0,0,0,98.5
2004,1,11,9,30,5.4,0,0,0,0,0,0,98.85000000000001
2004,1,11,10,30,5.300000000000001,0,0,0,0,0,0,98.98
2004,1,11,11,30,5.300000000000001,0,0,0,0,0,0,97.07000000000001
2004,1,11,12,30,5.300000000000001,0,0,0,0,0,0,96.5
2004,1,11,13,30,5.800000000000001,0,0,0,0,0,0,93.02
2004,1,11,14,30,6.9,448,95,38,4,44,44,90.82000000000001
2004,1,11,15,30,8.4,753,304,64,117,191,229,89.06
2004,1,11,16,30,9.700000000000001,880,499,75,314,234,385,83.8
2004,1,11,17,30,10.700000000000001,942,646,81,410,256,502,75.71000000000001
2004,1,11,18,30,11.3,946,725,94,89,367,427,68.95
2004,1,11,19,30,11.4,954,740,93,17,248,259,66.02
2004,1,11,20,30,11.4,942,683,88,107,312,380,65.21000000000001
2004,1,11,21,30,11.200000000000001,911,561,77,0,48,48,66.08
2004,1,11,22,30,10.4,823,383,66,5,107,109,70.19
2004,1,11,23,30,8.8,624,174,48,0,18,18,84.05
2004,1,12,0,30,7.800000000000001,0,0,0,0,0,0,89.96000000000001
2004,1,12,1,30,7.4,0,0,0,0,0,0,92.12
2004,1,12,2,30,7,0,0,0,0,0,0,94.4
2004,1,12,3,30,6.6000000000000005,0,0,0,0,0,0,96.42
2004,1,12,4,30,6.2,0,0,0,0,0,0,98.03
2004,1,12,5,30,5.7,0,0,0,0,0,0,99.94
2004,1,12,6,30,5.1000000000000005,0,0,0,0,0,0,100
2004,1,12,7,30,5,0,0,0,0,0,0,100
2004,1,12,8,30,5,0,0,0,0,0,0,100
2004,1,12,9,30,4.9,0,0,0,0,0,0,100
2004,1,12,10,30,4.800000000000001,0,0,0,0,0,0,100
2004,1,12,11,30,4.7,0,0,0,0,0,0,99.76
2004,1,12,12,30,4.7,0,0,0,0,0,0,99.06
2004,1,12,13,30,5.1000000000000005,0,0,0,0,0,0,96.38
2004,1,12,14,30,6.300000000000001,529,99,32,1,27,27,91.01
2004,1,12,15,30,8,799,309,53,12,113,117,85.07000000000001
2004,1,12,16,30,10.100000000000001,905,501,65,24,202,214,76.98
2004,1,12,17,30,12,956,647,72,17,229,239,65.74
2004,1,12,18,30,12.700000000000001,978,731,77,160,312,419,59.96
2004,1,12,19,30,12.4,974,742,79,4,172,175,60.85
2004,1,12,20,30,12,958,685,77,36,247,269,64.04
2004,1,12,21,30,11.4,914,561,73,18,204,214,68.74
2004,1,12,22,30,10.4,821,384,65,9,121,124,76.12
2004,1,12,23,30,9.1,617,174,48,0,35,35,87.93
2004,1,13,0,30,8,0,0,0,0,0,0,94.52
2004,1,13,1,30,7.5,0,0,0,0,0,0,97.66
2004,1,13,2,30,7.1000000000000005,0,0,0,0,0,0,99.33
2004,1,13,3,30,6.800000000000001,0,0,0,0,0,0,99.92
2004,1,13,4,30,6.6000000000000005,0,0,0,0,0,0,99.91
2004,1,13,5,30,6.4,0,0,0,0,0,0,100
2004,1,13,6,30,6.300000000000001,0,0,0,0,0,0,99.97
2004,1,13,7,30,6.2,0,0,0,0,0,0,99.93
2004,1,13,8,30,6.1000000000000005,0,0,0,0,0,0,100
2004,1,13,9,30,6.1000000000000005,0,0,0,0,0,0,100
2004,1,13,10,30,6,0,0,0,0,0,0,100
2004,1,13,11,30,6,0,0,0,0,0,0,100
2004,1,13,12,30,6,0,0,0,0,0,0,100
2004,1,13,13,30,6.2,0,0,0,0,0,0,99.05
2004,1,13,14,30,6.800000000000001,517,98,32,0,18,18,97.21000000000001
2004,1,13,15,30,7.5,783,306,55,0,51,51,95.66
2004,1,13,16,30,8.5,892,498,66,6,144,147,91.19
2004,1,13,17,30,9.9,945,643,73,1,98,99,86.01
2004,1,13,18,30,10.8,964,726,79,2,160,161,80.04
2004,1,13,19,30,11.3,974,742,77,2,171,172,75.97
2004,1,13,20,30,11.4,966,686,71,11,226,233,75.18
2004,1,13,21,30,11,931,565,65,0,87,87,77.68
2004,1,13,22,30,10,848,388,56,0,49,49,84.66
2004,1,13,23,30,8.8,663,180,42,0,8,8,95.19
2004,1,14,0,30,7.9,0,0,0,0,0,0,99.28
2004,1,14,1,30,7.5,0,0,0,0,0,0,99.74000000000001
2004,1,14,2,30,7.300000000000001,0,0,0,0,0,0,99.9
2004,1,14,3,30,7,0,0,0,0,0,0,100
2004,1,14,4,30,6.800000000000001,0,0,0,0,0,0,100
2004,1,14,5,30,6.7,0,0,0,0,0,0,100
2004,1,14,6,30,6.7,0,0,0,0,0,0,100
2004,1,14,7,30,6.800000000000001,0,0,0,0,0,0,100
2004,1,14,8,30,6.9,0,0,0,0,0,0,100
2004,1,14,9,30,6.800000000000001,0,0,0,0,0,0,100
2004,1,14,10,30,6.9,0,0,0,0,0,0,100
2004,1,14,11,30,7,0,0,0,0,0,0,100
2004,1,14,12,30,6.9,0,0,0,0,0,0,100
2004,1,14,13,30,6.800000000000001,0,0,0,0,0,0,100
2004,1,14,14,30,7.300000000000001,579,101,28,0,16,16,96.38
2004,1,14,15,30,8.1,833,312,45,9,104,107,93.34
2004,1,14,16,30,8.9,936,506,52,80,236,275,89.18
2004,1,14,17,30,9.5,988,654,57,136,292,374,85.53
2004,1,14,18,30,10.100000000000001,1013,741,60,275,379,564,81.95
2004,1,14,19,30,10.5,1018,756,59,184,405,531,79.02
2004,1,14,20,30,11.100000000000001,1003,699,58,552,220,573,75.81
2004,1,14,21,30,11.5,969,577,53,500,199,469,74.49
2004,1,14,22,30,11.100000000000001,903,399,44,164,183,247,76.94
2004,1,14,23,30,9.700000000000001,746,189,32,3,87,88,87.17
2004,1,15,0,30,8.200000000000001,0,0,0,0,0,0,96.55
2004,1,15,1,30,7.300000000000001,0,0,0,0,0,0,98.23
2004,1,15,2,30,6.5,0,0,0,0,0,0,98.95
2004,1,15,3,30,5.800000000000001,0,0,0,0,0,0,99.95
2004,1,15,4,30,5.2,0,0,0,0,0,0,100
