Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,532697,-,-,-,24.05,-103.14,0,2087,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky GHI,Clearsky DNI,DNI,DHI,GHI,Relative Humidity
2008,1,1,0,30,11.8,0,0,0,0,0,0,20.01
2008,1,1,1,30,9.8,0,0,0,0,0,0,21.490000000000002
2008,1,1,2,30,8.200000000000001,0,0,0,0,0,0,23.87
2008,1,1,3,30,7,0,0,0,0,0,0,26.650000000000002
2008,1,1,4,30,6.2,0,0,0,0,0,0,28.88
2008,1,1,5,30,5.9,0,0,0,0,0,0,30.14
2008,1,1,6,30,5.9,0,0,0,0,0,0,30.900000000000002
2008,1,1,7,30,5.9,0,0,0,0,0,0,30.900000000000002
2008,1,1,8,30,5.5,0,0,0,0,0,0,31.57
2008,1,1,9,30,4.6000000000000005,0,0,0,0,0,0,33.72
2008,1,1,10,30,3.3000000000000003,0,0,0,0,0,0,36.85
2008,1,1,11,30,2,0,0,0,0,0,0,40.96
2008,1,1,12,30,1,0,0,0,0,0,0,45.13
2008,1,1,13,30,2,0,0,0,0,0,0,43.75
2008,1,1,14,30,5.1000000000000005,37,163,709,709,37,163,37.660000000000004
2008,1,1,15,30,9,56,380,889,889,56,380,37.39
2008,1,1,16,30,13,67,565,963,963,67,565,41.61
2008,1,1,17,30,16.1,76,699,1001,1001,76,699,38.51
2008,1,1,18,30,18.2,77,764,1016,1016,77,764,34.21
2008,1,1,19,30,19.5,75,759,1017,1017,75,759,30.75
