Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,533764,-,-,-,23.41,-103.1,0,2340,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky GHI,Clearsky DNI,DNI,DHI,GHI,Relative Humidity
2008,1,1,0,30,12.4,0,0,0,0,0,0,24.1
2008,1,1,1,30,10.4,0,0,0,0,0,0,26.17
2008,1,1,2,30,8.700000000000001,0,0,0,0,0,0,28.5
2008,1,1,3,30,7.2,0,0,0,0,0,0,30.580000000000002
2008,1,1,4,30,5.800000000000001,0,0,0,0,0,0,32.64
2008,1,1,5,30,4.9,0,0,0,0,0,0,34.13
2008,1,1,6,30,4.5,0,0,0,0,0,0,36.19
2008,1,1,7,30,4.2,0,0,0,0,0,0,36.800000000000004
2008,1,1,8,30,3.8000000000000003,0,0,0,0,0,0,36.92
2008,1,1,9,30,3.3000000000000003,0,0,0,0,0,0,37.19
2008,1,1,10,30,2.4000000000000004,0,0,0,0,0,0,39.4
2008,1,1,11,30,1.1,0,0,0,0,0,0,42.87
2008,1,1,12,30,0,0,0,0,0,0,0,47.62
2008,1,1,13,30,1.4000000000000001,0,0,0,0,0,0,47.38
2008,1,1,14,30,5.300000000000001,35,173,748,748,35,173,45.83
2008,1,1,15,30,9.1,52,393,916,916,52,393,49.59
2008,1,1,16,30,12.5,63,579,984,984,63,579,48.45
2008,1,1,17,30,15.100000000000001,69,715,1024,1024,69,715,42.86
2008,1,1,18,30,16.8,69,779,1038,1038,69,779,37.53
2008,1,1,19,30,17.8,68,771,1034,1034,68,771,34.47
2008,1,1,20,30,18,65,694,1016,1016,65,694,34.04
2008,1,1,21,30,17.3,60,548,966,966,60,548,36.28
2008,1,1,22,30,15.5,51,353,868,868,51,353,42.34
2008,1,1,23,30,13,35,134,637,637,35,134,53.4
2008,1,2,0,30,10.8,0,0,0,0,0,0,65.82000000000001
2008,1,2,1,30,8.9,0,0,0,0,0,0,77.04
2008,1,2,2,30,7.1000000000000005,0,0,0,0,0,0,87.36
2008,1,2,3,30,5.4,0,0,0,0,0,0,94.94
2008,1,2,4,30,4.2,0,0,0,0,0,0,95.75
2008,1,2,5,30,3.2,0,0,0,0,0,0,94.04
2008,1,2,6,30,2.3000000000000003,0,0,0,0,0,0,91.76
2008,1,2,7,30,1.4000000000000001,0,0,0,0,0,0,90.5
2008,1,2,8,30,0.5,0,0,0,0,0,0,90.57000000000001
2008,1,2,9,30,-0.1,0,0,0,0,0,0,90.10000000000001
2008,1,2,10,30,-0.6000000000000001,0,0,0,0,0,0,90.28
2008,1,2,11,30,-1.1,0,0,0,0,0,0,91.12
2008,1,2,12,30,-1.6,0,0,0,0,0,0,91.61
2008,1,2,13,30,-1.5,0,0,0,0,0,0,88.12
