Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,463885,-,-,-,22.41,-105.82,0,0,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Temperature,Clearsky DNI,Clearsky GHI,Clearsky DHI,DNI,DHI,GHI,Relative Humidity
2004,1,1,0,30,23.3,0,0,0,0,0,0,83.25
2004,1,1,1,30,23,0,0,0,0,0,0,85.31
2004,1,1,2,30,22.8,0,0,0,0,0,0,86.45
2004,1,1,3,30,22.700000000000003,0,0,0,0,0,0,86.58
2004,1,1,4,30,22.6,0,0,0,0,0,0,86.23
2004,1,1,5,30,22.6,0,0,0,0,0,0,85.09
2004,1,1,6,30,22.6,0,0,0,0,0,0,84.05
2004,1,1,7,30,22.6,0,0,0,0,0,0,83.45
2004,1,1,8,30,22.5,0,0,0,0,0,0,83.62
2004,1,1,9,30,22.400000000000002,0,0,0,0,0,0,84.16
2004,1,1,10,30,22.400000000000002,0,0,0,0,0,0,84.10000000000001
2004,1,1,11,30,22.400000000000002,0,0,0,0,0,0,83.52
2004,1,1,12,30,22.400000000000002,0,0,0,0,0,0,82.61
2004,1,1,13,30,22.5,0,0,0,0,0,0,81.04
2004,1,1,14,30,23.1,354,106,51,1,38,38,78.37
2004,1,1,15,30,23.900000000000002,625,302,84,24,131,139,75.19
2004,1,1,16,30,24.8,755,485,99,75,224,263,69.94
2004,1,1,17,30,25.6,819,621,107,360,235,461,66.23
2004,1,1,18,30,26.1,862,700,105,271,292,479,63.17
2004,1,1,19,30,26.3,868,708,103,126,316,404,61.28
2004,1,1,20,30,26.400000000000002,855,650,97,99,290,354,60.07
2004,1,1,21,30,26.200000000000003,778,521,100,324,210,385,59.95
2004,1,1,22,30,25.700000000000003,671,348,86,37,153,168,62.49
2004,1,1,23,30,24.900000000000002,453,150,59,2,45,46,67.62
2004,1,2,0,30,24.3,0,0,0,0,0,0,69.95
2004,1,2,1,30,24,0,0,0,0,0,0,70.91
2004,1,2,2,30,23.700000000000003,0,0,0,0,0,0,71.54
2004,1,2,3,30,23.5,0,0,0,0,0,0,72.71000000000001
2004,1,2,4,30,23.200000000000003,0,0,0,0,0,0,75.08
2004,1,2,5,30,22.900000000000002,0,0,0,0,0,0,76.99
2004,1,2,6,30,22.6,0,0,0,0,0,0,78.73
2004,1,2,7,30,22.400000000000002,0,0,0,0,0,0,79.66
2004,1,2,8,30,22.1,0,0,0,0,0,0,80.29
2004,1,2,9,30,21.8,0,0,0,0,0,0,79.89
2004,1,2,10,30,21.5,0,0,0,0,0,0,79.61
2004,1,2,11,30,21.400000000000002,0,0,0,0,0,0,78.85000000000001
2004,1,2,12,30,21.3,0,0,0,0,0,0,78.45
2004,1,2,13,30,21.400000000000002,0,0,0,0,0,0,77.44
2004,1,2,14,30,22,391,109,48,82,81,94,75.25
2004,1,2,15,30,23.1,657,309,79,47,156,173,69.73
2004,1,2,16,30,24.700000000000003,776,492,95,226,227,343,62.440000000000005
2004,1,2,17,30,26.1,840,631,104,309,312,506,57.71
2004,1,2,18,30,26.400000000000002,863,708,111,374,329,589,57.01
2004,1,2,19,30,26.400000000000002,872,717,108,678,181,654,57.17
2004,1,2,20,30,26.200000000000003,857,658,102,209,347,482,57.97
2004,1,2,21,30,25.900000000000002,814,534,92,170,260,352,59.24
2004,1,2,22,30,25.3,720,360,78,199,177,255,62.410000000000004
2004,1,2,23,30,24.400000000000002,515,159,54,328,92,158,70
2004,1,3,0,30,23.700000000000003,0,0,0,0,0,0,74.77
2004,1,3,1,30,23.400000000000002,0,0,0,0,0,0,76.01
2004,1,3,2,30,23.200000000000003,0,0,0,0,0,0,76.21000000000001
2004,1,3,3,30,23.1,0,0,0,0,0,0,75.39
2004,1,3,4,30,23.1,0,0,0,0,0,0,74.26
2004,1,3,5,30,23,0,0,0,0,0,0,73.69
2004,1,3,6,30,22.900000000000002,0,0,0,0,0,0,73.3
2004,1,3,7,30,22.900000000000002,0,0,0,0,0,0,72.36
2004,1,3,8,30,22.900000000000002,0,0,0,0,0,0,71.74
2004,1,3,9,30,22.8,0,0,0,0,0,0,71.98
2004,1,3,10,30,22.700000000000003,0,0,0,0,0,0,72.52
2004,1,3,11,30,22.6,0,0,0,0,0,0,72.99
2004,1,3,12,30,22.6,0,0,0,0,0,0,72.74
2004,1,3,13,30,22.700000000000003,0,0,0,0,0,0,72.18
2004,1,3,14,30,23.200000000000003,404,109,47,10,61,62,71.57000000000001
2004,1,3,15,30,23.900000000000002,665,310,78,21,173,181,70.28
2004,1,3,16,30,24.5,782,494,95,14,216,223,68.25
2004,1,3,17,30,24.900000000000002,842,633,104,121,344,419,67.36
2004,1,3,18,30,25.5,878,713,105,601,210,626,65.43
2004,1,3,19,30,26.1,882,722,105,362,336,590,63.13
2004,1,3,20,30,26.5,864,662,101,358,266,499,60.71
2004,1,3,21,30,26.400000000000002,791,533,102,296,274,435,60.61
2004,1,3,22,30,25.900000000000002,697,360,86,81,192,224,61.690000000000005
2004,1,3,23,30,24.900000000000002,490,159,59,5,63,64,65.58
2004,1,4,0,30,23.8,0,0,0,0,0,0,71.68
2004,1,4,1,30,23.3,0,0,0,0,0,0,74.33
2004,1,4,2,30,22.900000000000002,0,0,0,0,0,0,76.24
2004,1,4,3,30,22.6,0,0,0,0,0,0,77.47
2004,1,4,4,30,22.3,0,0,0,0,0,0,77.88
2004,1,4,5,30,22,0,0,0,0,0,0,78.25
2004,1,4,6,30,21.8,0,0,0,0,0,0,78.12
2004,1,4,7,30,21.6,0,0,0,0,0,0,78.27
2004,1,4,8,30,21.6,0,0,0,0,0,0,78.01
2004,1,4,9,30,21.5,0,0,0,0,0,0,78.29
2004,1,4,10,30,21.400000000000002,0,0,0,0,0,0,78.37
2004,1,4,11,30,21.400000000000002,0,0,0,0,0,0,77.56
2004,1,4,12,30,21.400000000000002,0,0,0,0,0,0,76.47
2004,1,4,13,30,21.900000000000002,0,0,0,0,0,0,73.10000000000001
2004,1,4,14,30,22.8,417,110,46,417,46,110,70.15
2004,1,4,15,30,23.8,688,313,73,688,73,313,66.11
2004,1,4,16,30,24.6,807,499,87,807,87,499,62.39
2004,1,4,17,30,25.3,867,640,94,867,94,640,59.43
2004,1,4,18,30,25.8,903,721,95,903,95,721,57.67
2004,1,4,19,30,26.1,911,733,94,911,94,733,56.52
2004,1,4,20,30,26.200000000000003,898,675,90,898,90,675,56.28
2004,1,4,21,30,26.1,872,554,76,872,76,554,56.76
2004,1,4,22,30,25.6,789,378,65,789,65,378,58.64
2004,1,4,23,30,24.700000000000003,606,173,47,606,47,173,62.940000000000005
2004,1,5,0,30,23.700000000000003,0,0,0,0,0,0,68.84
2004,1,5,1,30,23,0,0,0,0,0,0,72.21000000000001
2004,1,5,2,30,22.5,0,0,0,0,0,0,74.60000000000001
2004,1,5,3,30,22.200000000000003,0,0,0,0,0,0,75.71000000000001
2004,1,5,4,30,22,0,0,0,0,0,0,76.11
2004,1,5,5,30,21.900000000000002,0,0,0,0,0,0,75.44
2004,1,5,6,30,21.700000000000003,0,0,0,0,0,0,75.16
2004,1,5,7,30,21.6,0,0,0,0,0,0,74.43
2004,1,5,8,30,21.5,0,0,0,0,0,0,73.91
2004,1,5,9,30,21.400000000000002,0,0,0,0,0,0,73.19
2004,1,5,10,30,21.400000000000002,0,0,0,0,0,0,71.63
2004,1,5,11,30,21.3,0,0,0,0,0,0,70.2
2004,1,5,12,30,21.200000000000003,0,0,0,0,0,0,68.58
2004,1,5,13,30,21.5,0,0,0,0,0,0,65.3
2004,1,5,14,30,22.6,530,119,38,530,38,119,60.980000000000004
2004,1,5,15,30,24,772,328,60,772,60,328,54.2
2004,1,5,16,30,25.700000000000003,875,518,71,875,71,518,49.43
2004,1,5,17,30,26.8,925,660,78,925,78,660,46.02
2004,1,5,18,30,27.200000000000003,942,738,83,942,83,738,45.75
2004,1,5,19,30,27.3,938,746,86,938,86,746,47.01
2004,1,5,20,30,27,919,685,84,919,84,685,49.25
2004,1,5,21,30,26.6,862,556,82,273,282,432,51.52
2004,1,5,22,30,25.8,766,377,72,766,72,377,55.35
2004,1,5,23,30,24.700000000000003,565,171,52,100,106,127,61.25
2004,1,6,0,30,23.8,0,0,0,0,0,0,66.98
2004,1,6,1,30,23.3,0,0,0,0,0,0,70.03
2004,1,6,2,30,23.1,0,0,0,0,0,0,71.44
2004,1,6,3,30,23,0,0,0,0,0,0,71.76
2004,1,6,4,30,23,0,0,0,0,0,0,70.87
2004,1,6,5,30,22.900000000000002,0,0,0,0,0,0,70.33
2004,1,6,6,30,22.900000000000002,0,0,0,0,0,0,69.74
2004,1,6,7,30,22.900000000000002,0,0,0,0,0,0,68.94
2004,1,6,8,30,22.8,0,0,0,0,0,0,68.82000000000001
2004,1,6,9,30,22.700000000000003,0,0,0,0,0,0,68.66
2004,1,6,10,30,22.700000000000003,0,0,0,0,0,0,67.67
2004,1,6,11,30,22.6,0,0,0,0,0,0,66.86
2004,1,6,12,30,22.5,0,0,0,0,0,0,66.38
2004,1,6,13,30,22.6,0,0,0,0,0,0,65.19
2004,1,6,14,30,23.200000000000003,439,110,43,45,78,85,63.89
2004,1,6,15,30,24,698,313,70,510,117,294,60.78
