Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,532760,-,-,-,21.53,-103.14,0,1674,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky GHI,Clearsky DNI,DNI,DHI,GHI,Relative Humidity
2008,1,1,0,30,19.1,0,0,0,0,0,0,20.16
2008,1,1,1,30,17.6,0,0,0,0,0,0,20.35
2008,1,1,2,30,16.400000000000002,0,0,0,0,0,0,21.87
2008,1,1,3,30,15.3,0,0,0,0,0,0,22.97
2008,1,1,4,30,14,0,0,0,0,0,0,24.42
2008,1,1,5,30,12.600000000000001,0,0,0,0,0,0,27.3
2008,1,1,6,30,11.3,0,0,0,0,0,0,32.64
2008,1,1,7,30,10.200000000000001,0,0,0,0,0,0,37.88
2008,1,1,8,30,9.5,0,0,0,0,0,0,41.800000000000004
2008,1,1,9,30,9,0,0,0,0,0,0,45.25
2008,1,1,10,30,8.5,0,0,0,0,0,0,48.57
2008,1,1,11,30,8.1,0,0,0,0,0,0,51.120000000000005
2008,1,1,12,30,7.800000000000001,0,0,0,0,0,0,52.89
2008,1,1,13,30,8.9,0,0,0,0,0,0,49.61
2008,1,1,14,30,12.100000000000001,38,187,744,744,38,187,40.910000000000004
2008,1,1,15,30,16.1,54,410,913,913,54,410,35.96
2008,1,1,16,30,19.5,64,600,984,984,64,600,35.160000000000004
2008,1,1,17,30,21.700000000000003,69,734,1017,712,255,721,31.27
2008,1,1,18,30,23.1,74,799,1024,1024,74,799,27.75
2008,1,1,19,30,23.8,75,794,1021,712,273,774,26.12
2008,1,1,20,30,23.8,73,710,993,993,73,710,26.69
2008,1,1,21,30,23.1,67,565,943,943,67,565,29.71
2008,1,1,22,30,21.5,58,366,841,208,202,279,35.78
2008,1,1,23,30,18.8,40,146,614,114,92,112,45.83
2008,1,2,0,30,16.1,0,0,0,0,0,0,56.43
2008,1,2,1,30,13.9,0,0,0,0,0,0,63.74
2008,1,2,2,30,11.8,0,0,0,0,0,0,67.29
2008,1,2,3,30,10,0,0,0,0,0,0,68.12
2008,1,2,4,30,8.6,0,0,0,0,0,0,68.78
2008,1,2,5,30,7.4,0,0,0,0,0,0,70.21000000000001
2008,1,2,6,30,6.300000000000001,0,0,0,0,0,0,71.52
2008,1,2,7,30,5.4,0,0,0,0,0,0,71.78
2008,1,2,8,30,4.800000000000001,0,0,0,0,0,0,70.92
2008,1,2,9,30,4.3,0,0,0,0,0,0,70.55
2008,1,2,10,30,3.9000000000000004,0,0,0,0,0,0,70.86
2008,1,2,11,30,3.5,0,0,0,0,0,0,71.54
2008,1,2,12,30,3.2,0,0,0,0,0,0,71.71000000000001
2008,1,2,13,30,3.8000000000000003,0,0,0,0,0,0,67.32000000000001
2008,1,2,14,30,6,43,178,676,676,43,178,56.75
2008,1,2,15,30,9.3,61,400,872,266,211,315,46.160000000000004
2008,1,2,16,30,12.700000000000001,71,590,952,952,71,590,38.61
2008,1,2,17,30,15.600000000000001,76,727,995,995,76,727,33.7
2008,1,2,18,30,17.8,82,795,1007,1007,82,795,30.59
2008,1,2,19,30,19.3,83,791,1003,1003,83,791,28.71
2008,1,2,20,30,19.8,81,713,981,981,81,713,28.240000000000002
2008,1,2,21,30,19.400000000000002,75,569,934,934,75,569,29
2008,1,2,22,30,17.8,64,372,834,834,64,372,31.79
2008,1,2,23,30,14.600000000000001,44,149,602,602,44,149,38.7
